lon,lat,frequency,duration_mean,intensity_mean
-180.0,-90.0,,,
-179.0,-90.0,315.0,3.7714285850524902,2.0575664043426514
-178.0,-90.0,315.0,3.7714285850524902,2.0575664043426514
-177.0,-90.0,315.0,3.7714285850524902,2.0575664043426514
-176.0,-90.0,315.0,3.7714285850524902,2.0575664043426514
-175.0,-90.0,315.0,3.7714285850524902,2.0575664043426514
-174.0,-90.0,315.0,3.7714285850524902,2.0575664043426514
-173.0,-90.0,315.0,3.7714285850524902,2.0575664043426514
-172.0,-90.0,315.0,3.7714285850524902,2.0575664043426514
-171.0,-90.0,315.0,3.7714285850524902,2.0575664043426514
-170.0,-90.0,315.0,3.7714285850524902,2.0575664043426514
-169.0,-90.0,315.0,3.7714285850524902,2.0575664043426514
-168.0,-90.0,315.0,3.7714285850524902,2.0575664043426514
-167.0,-90.0,315.0,3.7714285850524902,2.0575664043426514
-166.0,-90.0,315.0,3.7714285850524902,2.0575664043426514
-165.0,-90.0,315.0,3.7714285850524902,2.0575664043426514
-164.0,-90.0,315.0,3.7714285850524902,2.0575664043426514
-163.0,-90.0,315.0,3.7714285850524902,2.0575664043426514
-162.0,-90.0,315.0,3.7714285850524902,2.0575664043426514
-161.0,-90.0,315.0,3.7714285850524902,2.0575664043426514
-160.0,-90.0,315.0,3.7714285850524902,2.0575664043426514
-159.0,-90.0,315.0,3.7714285850524902,2.0575664043426514
-158.0,-90.0,315.0,3.7714285850524902,2.0575664043426514
-157.0,-90.0,315.0,3.7714285850524902,2.0575664043426514
-156.0,-90.0,315.0,3.7714285850524902,2.0575664043426514
-155.0,-90.0,315.0,3.7714285850524902,2.0575664043426514
-154.0,-90.0,315.0,3.7714285850524902,2.0575664043426514
-153.0,-90.0,315.0,3.7714285850524902,2.0575664043426514
-152.0,-90.0,315.0,3.7714285850524902,2.0575664043426514
-151.0,-90.0,315.0,3.7714285850524902,2.0575664043426514
-150.0,-90.0,315.0,3.7714285850524902,2.0575664043426514
